Frame,Gaze_X,Gaze_Y,Fixation,Side
171,-0.0551,-0.0226,False,Center
172,-0.089,-0.0078,False,Center
173,-0.0719,-0.0188,False,Center
174,-0.0659,-0.0378,False,Center
175,-0.068,-0.007,False,Center
176,-0.0575,0.012,False,Center
177,-0.0511,0.0192,False,Center
178,-0.0781,0.0145,False,Center
179,-0.0875,0.0076,False,Center
180,-0.0832,-0.0014,False,Center
181,-0.0908,-0.0111,False,Center
182,-0.0882,-0.0337,False,Center
183,-0.096,-0.0204,False,Center
184,-0.0878,-0.0238,False,Center
185,-0.0847,-0.015,False,Center
186,-0.0877,-0.0005,False,Center
187,-0.0745,0.0208,False,Center
188,-0.0558,0.0074,False,Center
189,-0.0783,0.0187,False,Center
190,-0.0592,0.0136,False,Center
191,-0.058,0.0035,False,Center
192,-0.0686,-0.0258,False,Center
193,-0.0797,-0.0141,False,Center
194,-0.0855,-0.0158,False,Center
195,-0.0613,-0.0204,False,Center
196,-0.1204,0.0066,False,Center
198,-0.0847,-0.0354,False,Center
199,-0.0775,-0.0296,False,Center
200,-0.09,-0.0234,False,Center
201,-0.076,-0.0453,False,Center
202,-0.0847,-0.049,False,Center
203,-0.1205,-0.0464,False,Center
204,-0.0891,-0.0368,False,Center
205,-0.1157,-0.0013,False,Center
206,-0.1512,-0.0499,False,Center
207,0.0779,-0.1735,False,Center
208,-0.0185,0.0133,True,Center
218,0.0409,-0.035,True,Center
219,-0.1159,-0.0531,False,Center
220,-0.1107,-0.0593,False,Center
221,-0.0806,-0.0588,False,Center
222,-0.0671,-0.0345,False,Center
231,-0.0394,-0.2139,True,Center
232,-0.0452,-0.1118,True,Center
233,-0.0844,-0.087,False,Center
234,-0.1044,-0.0504,False,Center
235,-0.1491,-0.0268,False,Center
236,-0.1158,-0.0518,False,Center
237,-0.0639,-0.0577,False,Center
238,-0.0702,-0.045,False,Center
239,-0.0587,-0.0252,False,Center
240,-0.0658,-0.029,False,Center
241,-0.3143,0.0828,False,Left
242,-0.0807,0.0427,False,Center
243,-0.0457,-0.0289,True,Center
244,-0.0465,-0.0396,True,Center
245,-0.0598,-0.0388,False,Center
246,-0.0603,-0.0217,False,Center
247,-0.0492,-0.0213,True,Center
248,-0.0247,-0.032,True,Center
249,-0.0412,-0.0366,True,Center
250,-0.0393,-0.0402,True,Center
251,-0.0515,-0.0138,False,Center
252,-0.0542,-0.0204,False,Center
253,-0.0447,-0.0283,True,Center
254,-0.0432,-0.0371,True,Center
255,-0.0376,-0.0235,True,Center
256,-0.0508,-0.0326,False,Center
257,-0.0474,-0.0245,True,Center
258,-0.022,-0.0409,True,Center
259,-0.046,-0.0342,True,Center
260,-0.0417,-0.0451,True,Center
261,-0.0672,-0.0445,False,Center
262,-0.0616,-0.0544,False,Center
263,-0.032,-0.0268,True,Center
264,-0.0721,-0.0144,False,Center
265,-0.0433,0.0003,True,Center
266,-0.0718,0.0003,False,Center
267,-0.0456,-0.0253,True,Center
268,-0.07,-0.0276,False,Center
269,-0.0492,0.0074,True,Center
270,-0.0637,-0.0092,False,Center
271,-0.0605,-0.0069,False,Center
272,-0.061,-0.0095,False,Center
273,-0.0699,0.0,False,Center
274,-0.126,0.0513,False,Center
275,-0.1028,0.0465,False,Center
276,-0.1061,0.0407,False,Center
277,-0.1041,0.0249,False,Center
278,-0.0768,0.0104,False,Center
279,-0.0871,0.0264,False,Center
280,-0.0767,-0.022,False,Center
281,-0.1254,0.0074,False,Center
282,-0.1261,-0.0105,False,Center
283,-0.1717,-0.0184,False,Center
